access	n. 接近；通道，入口；接近的机会 vt. 存取
branch	n. 树枝；分部；分科
uneasy	adj. 心神不安的， 忧虑的
solemn	adj. 严肃的，庄重的；庄严的；隆重的
astronaut	n. 宇宙航行员，宇航员
memorial	adj. 纪念的，悼念的 n. 纪念碑， 纪念堂， 纪念仪式
dispose	vt. 处理， 解决； 使倾向于
sulfur	n. 硫（磺），硫黄
beginner	n. 初学者，生手
pollute	vt. 弄脏， 污染； 腐蚀
focus	v. 聚焦；集中 n. 焦点； 中心
hunt	n. 打猎；搜寻 v. 追猎
cost	n. 价格；代价；成本
slam	v. 砰地关上；猛力拉，砰地放下；猛烈抨击 n. 砰的一声
decay	vi. 腐烂；衰败 n. 腐烂
crowd	v. 聚集； 挤满； 挤； 推 n. 群，一批
decade	n. 十年， 十年期
prime	adj. 首要的；最好的 n. 青春；全盛时期 vt. 使准备好
ache	vi. 疼痛；渴望 n. 疼痛
grand	adj. 宏伟的； 重大的； 傲慢的； 派头大的； 绝佳的； 全部的
earn	v. 赚得，挣得；获得
goodness	int. 天哪 n. 善良， 美德， 好意
spray	v. 喷， 溅散 n. 浪花，水花；喷雾
trick	n. 诡计；窍门 v. 哄骗
February	n. 二月
cell	n. 细胞；小房间
extend	v. 延长， 扩大； 提供， 给予； 伸展， 达到
policy	n. 政策， 方针； 保险单
mass	adj. 大量的，大规模的 v. 聚集， 集中 n. 众多，大量；团，块，堆；群众；质量
initial	adj. 最初的，开始的 n. 首字母
labour	n. 劳动；工作；劳工
diagram	n. 图解， 图表， 简图
scheme	v. 密谋， 策划 n. 计划，方案；阴谋
entry	n. 入口处； 登记； 进入； 参赛者名单； 条目
assistant	adj. 助理的， 辅助的 n. 助手，助理，助教
pocket	n. 衣袋 adj. 袖珍的
drum	v. 有节奏地敲击 n. 鼓，鼓状物；圆桶
dial	n. 钟面；拨号盘 v. 拨
typist	n. 打字员
grasp	vt. 抓紧，握紧；理解 n. 抓； 理解
picnic	n. 郊游，野餐 v. 野餐
contain	v. 包含，容纳
copper	n. 铜； 铜币， 铜制器
fill	v. 装满，盛满；占满
borrow	v. 借，借用，借人
landing	n. 上岸，登陆，着陆
urgent	adj. 紧急的， 急迫的
remind	vt. 提醒， 使想起
power	n. 能力；力；权；幂
possess	v. 占用，拥有（财产）
cafe	n. 咖啡馆；小餐厅
badly	adv. 坏，差；严重地
drop	v. 使落下；降低
carry	v. 携带；运载；传送
bill	n. 账单；票据；招贴
barber	n. 理发师
payment	n. 支付， 支付的款项
luggage	n. 行李；皮箱，皮包
mode	n. 方式；样式
coal	n. 煤；煤块
defect	v. 变节， 叛变 n. 缺点， 缺陷， 欠缺
afternoon	n. 下午，午后
worthless	adj. 无价值的， 无用的
infect	vt. 传染， 感染； 影响
linen	n. 亚麻布；亚麻织物
moist	adj. 湿润的， 潮湿的
match	n. 比赛，竞赛；对手
gasoline	n. （美）汽油
patient	adj. 忍耐的，有耐心的 n. 病人
cunning	adj. 狡猾的，狡诈的
paragraph	n. （文章的）段，节
vast	adj. 巨大的， 大量的； 浩瀚的
enjoy	v. 享受；欣赏，喜爱
deceive	vt. 欺骗， 蒙蔽， 行骗
voltage	n. 电压
dialog	n. 对话，对白
garden	n. 花园，菜园；公园
forever	adv. 永远；总是，老是
glimpse	vi. 看一眼，一瞥 vt. 瞥见 n. 一瞥， 一看
dialect	n. 方言， 土语， 地方话
vertical	adj. 垂直的， 竖式的
vice	n. 罪恶； 恶习， 缺点； 虎钳
health	n. 健康状况；健康
plural	adj. 复数的 n. 复数
piece	n. 块；碎片 v. 拼合
robot	n. 机器人；自动机
nobody	pron. 谁也不；无人
unload	v. 卸， 卸货； 下客； 退出子弹； 卸下胶卷
anxiety	n. 焦虑， 忧虑； 渴望， 热望
drag	v. 拖，拉；迫使，硬拉；拖着脚步走 n. 累赘； 一吸， 一抽
clay	n. 黏土， 泥土； 肉体
flower	n. 花，花卉；开花
outwards	adv. 向外，往海外
withstand	vt. 抵挡， 反抗
forgive	v. 原谅，饶恕，宽恕
bind	vt. 捆绑， 包扎； 装订； 约束； 使结合， 使黏合
pillar	n. 柱， 柱子； 栋梁
metric	adj. 公制的， 米制的
pine	vi. 消瘦， 衰弱； 痛苦， 悲哀； 渴望 n. 松树，松木
eighteen	num. 十八，十八个
breath	n. 气息，呼吸
effort	n. 努力， 努力的成果
shower	n. 阵雨；（一）阵；淋浴
alive	adj. 活着的；活跃的
Indian	adj. 印度的 n. 印度人
serve	v. 为…服务；招待
fear	n. 害怕；担心 v. 害怕
loss	n. 遗失；损失；失败
damp	adj. 潮湿的，微湿的 n. 潮湿，湿气 vt. 使潮湿； 使沮丧； 抑制
stain	vt. 玷污；给…着色 n. 污点， 污迹
vain	adj. 徒劳的； 自负的
gratitude	n. 感激， 感谢， 感恩
pole	n. 杆； 极， 磁极， 电极
comfort	n. 舒适；安慰 v. 安慰
employee	n. 受雇者， 雇员， 雇工
typical	adj. 典型的， 代表性的
nucleus	n. 核，（原子）核；核心
cottage	n. 村舍，小屋
oblige	vt. 迫使； 施恩于， 帮…的忙； 使感激
skilled	adj. 有技能的； 熟练的； 需要技能的
static	adj. 静的，静态的；静止的，停滞的 n. 静电
portrait	n. 肖像， 画像
partial	adj. 部分的； 不公平的； 偏爱的， 偏袒的
yearly	adv. 一年一度地 adj. 每年的
straw	n. 稻草； 麦秆吸管， 吸管
cord	n. 细绳， 粗线， 索； 灯芯绒裤
risk	n. 危险，风险；引起危险的事物 vt. 冒…的危险， 使遭受危险
almost	adv. 几乎，差不多
loosen	vt. 解开； 放松， 松弛
balloon	n. 气球， 玩具气球
everyday	adj. 每天的，日常的
criminal	adj. 犯罪的， 刑事的 n. 犯人，罪犯，刑事犯
Christian	adj. 基督教的 n. 基督教徒，信徒
gross	adj. 总的； 严重的； 粗俗的； 臃肿的
gradual	adj. 逐渐的， 渐进的； 坡度平缓的
culture	n. 文化， 文明； 教养； 培养； 培养菌
trend	vi. 伸向；倾向 n. 倾向
November	n. 十一月
clothes	n. 衣服，服装
glow	v. 发白热光 n. 白热光；脸红；激情
dusk	n. 薄暮， 黄昏； 幽暗
force	vt. 强迫；用力推动，用力打开 n. 军队， 兵力； 暴力， 武力； 力， 力气； 影响力， 效力
tame	adj. 驯服的，顺从的；沉闷的，乏味的 vt. 制服， 控制并利用； 驯化， 驯服
formal	adj. 正式的， 礼仪上的
fruit	n. 水果；果实；成果
reach	v. 抵达；伸出；达到
luxury	n. 奢侈，奢华；奢侈品
pound	n. 磅；英磅
punish	v. 罚，惩罚，处罚
poetry	n. 诗， 诗歌， 诗集
idle	adj. 空闲的，懒散的；无用的 v. 虚度， 无所事事
island	n. 岛，岛屿
color	n. 颜色，彩色；颜料
extremely	adv. 极端，极其，非常
tractor	n. 拖拉机， 牵引车
craft	n. 工艺， 手艺； 船， 航空器
century	n. 世纪；百年
northeast	n. 东北 adj. 位于东北的
purpose	n. 目的；意图
nursery	n. 托儿所， 保育室； 苗圃
excite	v. 使激动；引起
silver	n. 银；银币；银器
manager	n. 经理，管理人
band	n. 乐队；群，伙；带；条纹；波段 vt. 用带绑扎
proceed	vi. 继续进行； 行进， 前进
defend	v. 保卫，防守
always	adv. 总是，一直；永远
mainland	n. 大陆
honeymoon	n. 蜜月
scholar	n. 学者（尤指文学方面）
Germany	n. 德意志，德国
clearly	adv. 明白地，清晰地
follow	v. 跟随；结果是
bring	v. 带来；引出；促使
ground	n. 地；场地；根据
film	n. 影片；胶卷；薄层
Canada	n. 加拿大
await	vt. 等候； 期待； 将降临到…身上
lemon	n. 柠檬； 柠檬树； 柠檬黄， 淡黄色
triangle	n. 三角（形）
bank	n. 银行；库；沿，堤
telescope	n. 望远镜
even	adv. 甚至；甚至更，还
booth	n. 公用电话亭；货摊
final	adj. 最后的；决定性的
drought	n. 旱灾，干旱
farm	n. 农场，农庄；饲养场
Britain	n. 不列颠，英国
whip	vt. 鞭笞；猛地移动；搅打成糊状 n. 鞭子
fond	adj. 喜爱的；溺爱的
anyhow	adv. 无论如何， 不管怎么说； 随随便便地， 杂乱无章地
knob	n. 门把，拉手；旋纽
factor	n. 因素； 因子； 系数
finish	v. 完成；结束 n. 结尾
allow	vt. 允许， 准许； 同意给； 承认； 允许…进入
keen	adj. 热心的； 激烈的； 敏锐的， 敏捷的
vitamin	n. 维生素，维他命
enemy	n. 敌人；仇敌；敌兵
design	vt. 设计；预定，指定 n. 设计， 构想； 图样； 企图
cream	n. 奶油，乳脂；奶油色
duty	n. 责任；职责；税
cousin	n. 堂（或表）兄弟（姐妹）
lamb	n. 羔羊， 小羊； 羔羊肉
bake	v. 烤，烘，焙；烧硬
airplane	n. 飞机
coat	n. 外套，上衣；皮毛
wreck	n. 失事；残骸；精神或身体已垮的人 vt. 破坏
affair	n. 事务；事情，事件
chill	v. 变冷，感到冷 n. 寒冷， 寒气； 风寒， 寒战
oppose	vt. 反对； 反抗
hurry	v. 赶紧；催促
gain	v. 获得；增加 n. 增进
art	n. 艺术，美术；技术
girl	n. 女孩子，姑娘；女儿
chess	n. 棋；国际象棋
quote	vt. 引用，援引 n. 引文， 引语； 报价， 牌价； 引号
exhibit	vt. 显示；陈列，展览 n. 展览品
depend	v. 依靠，依赖；相信
entire	adj. 全部的， 整个的
behavior	n. 行为， 举止， 表现
provided	conj. 假如， 若是
thus	adv. 如此，这样；因而
clothing	n. 衣服
kingdom	n. 王国； 领域； 界
vessel	n. 容器； 船； 飞船； 管
feather	n. 羽毛；翎毛；羽状物
Monday	n. 星期一
export	vt. 输出， 出口 n. 输出， 出口； 输出品， 出口额
badminton	n. 羽毛球
arrival	n. 到达， 到来； 到达者， 到达物
fifteen	num. 十五；十五个
motive	n. 动机， 目的
capture	vt. 捕获， 俘获； 夺得
handful	n. 一把， 少数， 一小撮
being	n. 存在； 生物， 生命
crew	n. 全体船员； 一队工作人员
postman	n. 邮递员
tempt	v. 引诱，诱惑；吸引
classroom	n. 教室，课堂
corridor	n. 走廊， 回廊， 通路
daughter	n. 女儿
outdoors	adv. 在户外，在野外
mark	n. 斑点；记号 v. 标明
mould	n. 霉，霉菌；模型，铸模；性格，气质 vt. 用模子做， 浇铸； 使形成， 把…铸造成
already	adv. 早已，已经
tune	n. 调子；和谐 vt. 调整， 调节； 为调音
logical	adj. 逻辑的， 合乎常理的
heavy	adj. 重的；大的；充满的
danger	n. 危险；危险事物
punch	vt. 猛击；穿孔 n. 猛击； 冲床； 穿孔机； 力量， 效力
plate	n. 盘 v. 电镀
slide	v. 滑；悄悄地移动 n. 滑动； 滑道， 滑面； 幻灯片
mount	v. 登上；发起；安放；增加，加剧 n. 山， 峰
party	n. 聚会；党，党派
further	adv. 更远地 adj. 更远的
radio	n. 无线电；收音机
catalog	n. 目录，目录册；一系列 vt. 将…编入目录， 将编目
coward	n. 懦夫；胆怯者
throat	n. 咽喉， 喉咙； 嗓音
discuss	v. 讨论，谈论；论述
refresh	v. 振作精神， 恢复活力
leader	n. 领袖， 领导人， 首领
baby	n. 婴儿；孩子气的人
wooden	adj. 木制的；呆板的
vibrate	v. 使颤动
honest	adj. 诚实的
necklace	n. 项链，项圈
chair	n. 椅子；主席
back	adv. 回原处；回；在后
jacket	n. 短上衣，茄克衫
pretend	vt. 装作， 假装
jump	v. 跳；暴涨
count	v. 计算；数，计数
vivid	adj. 鲜艳的； 生动的， 栩栩如生的
biscuit	n. （英）饼干；（美）软饼
orange	n. 橙（树）；柑（树）
advantage	n. 优点， 优势， 好处
blossom	n. 花；开花 v. 开花
heading	n. 标题， 题词， 题名； 新闻提要
fridge	n. 电冰箱
German	adj. 德国的 n. 德国人
elsewhere	adv. 在别处， 向别处
British	adj. 不列颠的，英联邦的
series	n. 一系列， 连续； 丛书， 连续剧
personnel	n. 全体人员，全体职员
faulty	adj. 有错误的， 有缺点的
famous	adj. 著名的，出名的
breathe	v. 呼吸
rainbow	n. 虹， 彩虹
furniture	n. 家具
college	n. 学院；大学
mother	n. 母亲，妈妈
hour	n. 小时；时间；时刻
crop	n. 农作物，庄稼；一熟：一季的收成
devil	n. 魔鬼， 恶魔； 家伙， 人
opinion	n. 意见，看法，主张
maid	n. 女佣，女仆；少女
yard	n. 院子，庭院；场地
doctor	n. 医生，医师；博士
ripe	adj. 熟的； 时机成熟的
earth	n. 地球；陆地，地面
alphabet	n. 字母表， 字母系统
lucky	adj. 幸运的， 侥幸的； 吉利的
waggon	n. 四轮运货马车
regret	v. 懊悔；抱歉 n. 懊悔
rack	n. 挂架，搁架 vt. 使痛苦， 折磨； 尽力使用
lace	n. 鞋带，系带；花边
jolly	adj. 快活的；令人高兴的
area	n. 地区；面积；领域
Oceania	n. 大洋洲
ocean	n. 海洋；洋
loop	v. 成环， 成圈 n. 圈，环，回路；循环
greedy	adj. 贪吃的； 贪婪的； 渴望的
everything	pron. 每件事，事事
check	v. 检查；制止 n. 检查
cheap	adj. 廉价的；劣质的
moisture	n. 潮湿， 湿气
memory	n. 记忆；回忆；存储
accept	v. 接受；同意
false	adj. 不真实的；伪造的
guest	n. 客人，宾客；旅客
carriage	n. 客车厢， 四轮马车
raw	adj. 自然状态的， 未加工过的； 生的； 未经分析的， 原始的； 生疏无知的， 未经训练的； 露肉而刺痛的
polite	adj. 有礼貌的；有教养的
thereby	adv. 因此， 从而， 由此
threat	n. 威胁， 恐吓； 凶兆， 征兆
usage	n. 使用； 对待； 惯用法
aloud	adv. 出声地；大声地
cripple	n. 跛子；残疾人 vt. 使跛； 使残疾
cigaret	n. 香烟，纸烟，卷烟
square	n. 正方形；广场
pray	v. 祈祷， 祈求； 请求， 恳求
decrease	v. 减少 n. 减少
banana	n. 香蕉；芭蕉属植物
collar	n. 衣领；项圈
lean	v. 倾斜；屈身；靠 adj. 瘦的； 贫瘠的
circle	n. 圆；圆周；圈子
news	n. 新闻；消息
wicked	adj. 坏的， 令人厌恶的； 淘气的， 顽皮的
shoot	v. 发射；射中 n. 芽
quarrel	n. 争吵，吵架，口角
here	adv. 这里；向这里
scrape	v. 刮，擦 n. 刮， 擦； 刮擦声
example	n. 例子，实例；模范
equip	vt. 装备， 配备； 使有准备
forest	n. 森林；森林地带
lower	adj. 较低的；下面的 vt. 放下， 降低
saddle	n. 鞍，鞍状物；车座 vt. 给…装鞍； 使承担任务
trunk	n. 树干； 大衣箱， 皮箱； 汽车后备箱； 象鼻
customer	n. 顾客，主顾
outlook	n. 观点， 看法； 展望， 前景
member	n. 成员，会员
passport	n. 护照
corner	n. 角；边远地区
lightning	n. 闪电，闪电放电
strip	v. 脱光衣服；剥夺，夺去 n. 条带
condemn	vt. 谴责， 指责； 判…刑， 宣告…有罪
hopeful	adj. 有希望的
fire	n. 火；火灾 v. 开火
ahead	adv. 向前；在前；提前
chop	vt. 砍，劈；切细 n. 排骨
gulf	n. 海湾； 巨大的分歧
mainly	adv. 主要地，大体上
skillful	adj. 灵巧的， 娴熟的
data	n. 数据；资料
gallon	n. 加仑
have	aux v. （与过去分词连用构成完成时） v. 有；吃
Mister	n. 先生
crawl	vi. 爬， 爬行； 缓慢地行进
dread	n. 畏惧；恐怖 v. 惧怕
furnace	n. 炉子， 熔炉， 鼓风炉
statue	n. 塑像， 雕像， 铸像
union	n. 工会， 联盟； 联合， 团结； 一致
petroleum	n. 石油
northwest	n. 西北 adj. 位于西北的
wool	n. 羊毛； 毛线， 绒线
hollow	adj. 空的， 空洞的； 沉闷的； 虚伪的
lantern	n. 提灯，灯笼
earnest	adj. 认真的， 诚恳的
lavatory	n. 盥洗室， 厕所
oneself	pron. 自己；亲自
veteran	n. 老兵， 老手
declare	v. 断言；声明；表明
span	n. 跨距，一段时间 vt. 持续， 贯穿； 包括； 横跨， 跨越
bunch	vi. 集中， 挤在一起； 形成一束 n. 群，伙；束，串，捆 vt. 使成一束
insect	n. 昆虫， 虫
growth	n. 增长， 增长量； 生长， 生长物
strange	adj. 陌生的；奇怪的
female	adj. 雌的； 女的 n. 雌性动物；女子
damage	v. 损害，毁坏 n. 损害
assure	vt. 使确信； 确保， 向…保证
store	n. 商店；贮藏；贮存品
bitter	adj. 痛苦的；严寒的
naked	adj. 裸体的； 无遮蔽的
engineer	n. 工程师，技师
eastern	adj. 朝东的；东方的
region	n. 地区， 地带， 区域； 范围， 幅度
least	det,pron. 最少的 adv. 最少
grind	v. 磨（碎）；磨利
haste	n. 急速， 急忙； 草率
needless	adj. 不需要的
boot	n. 靴子， 长筒靴； 行李箱； 解雇
pain	n. 痛，疼痛；辛苦
habitual	adj. 习惯性的，惯常的
erect	adj. 竖直的， 垂直的 vt. 建造；使竖立
hate	v. 恨，憎恨；不喜欢
orderly	adj. 整洁的； 有秩序的
point	n. 点；要点；细目；分
live	v. 居住；活 adj. 活的
horizon	n. 地平线； 眼界， 见识
similarly	adv. 类似地， 相似地
protein	n. 蛋白质，朊
tendency	n. 趋向， 趋势， 倾向
giant	adj. 巨大的 n. 巨人，巨物；才智超群的人
father	n. 父亲；神父；创始人
specimen	n. 样本， 标本， 样品
upward	adj. 上升的；向上的
ready	adj. 准备好的；愿意的
path	n. 路，小道；道路
helmet	n. 头盔，钢盔
adverb	n. 副词
variable	adj. 易变的 n. 变量
belt	n. 带，腰带；皮带；区
cage	n. 笼；鸟笼，囚笼
exist	v. 存在；生存，生活
width	n. 宽阔， 广阔； 宽度
argue	vi. 争辩， 争论 vt. 争论，争辩，辩论；主张；说服
herself	pron. 她自己；她亲自
potato	n. 马铃薯，土豆
aspect	n. 方面； 朝向， 方向； 样子， 外表
fertile	adj. 肥沃的； 多产的； 丰富的
chamber	n. 〔人体内或某些机器中的〕室，腔；会议室；房间
rotary	adj. 旋转的，转动的
deaf	adj. 聋的； 不愿听的
prize	n. 奖赏，奖金 v. 珍视
neither	adj. （两者）都不的
petrol	n. （英）汽油
echo	v. 重复， 模仿； 发出回声 n. 回声；反响，共鸣
boil	v. 沸腾；汽化；煮沸
log	n. 原木，木料；航海日志 vt. 正式记录
grass	n. 草；牧草；草地
dense	adj. 密集的， 浓厚的； 密度大的
aircraft	n. 飞机， 飞行器
scout	v. 侦察， 寻找 n. 侦察员，侦察机，侦察舰；童子军
layout	n. 布局， 安排， 设计
torture	n. 拷问；折磨 vt. 拷打
shiver	v. 颤抖，哆嗦 n. 冷颤
textile	adj. 纺织的 n. 纺织品；纺织业
employer	n. 雇佣者， 雇主
fisherman	n. 渔民，渔夫，打鱼人
vapour	n. 汽，蒸气
chemist	n. 化学家， 药剂师
forward	adv. 向前；今后，往后
nail	n. 钉；指甲 v. 钉
fail	v. 失败；不能；失灵
disturb	vt. 打扰， 扰乱； 弄乱； 使不安
exciting	adj. 令人兴奋的
plot	v. 密谋， 计划； 绘制…的平面图， 在图上标绘…的位置 n. 故事情节；计划，密谋；小块土地
build	v. 建筑；建立；创立
bosom	n. 胸，胸部；内心
parent	n. 父亲，母亲，双亲
seal	n. 封铅，封条；印，图章；海豹 vt. 封
deny	vt. 否定， 否认； 拒绝…的要求
empire	n. 帝国
surgery	n. 外科， 外科手术； 手术室
fortune	n. 运气；巨款；命运
again	adv. 又一次；而且
mankind	n. 人类
mechanics	n. 力学
crystal	n. 水晶， 结晶体， 晶粒
letter	n. 信；字母
card	n. 卡；卡片；名片
rouse	vt. 惊起； 唤起； 唤醒
Arabian	adj. 阿拉伯的
violent	adj. 暴力引起的， 暴力的； 猛烈的， 剧烈的
ampere	n. 安培
blast	n. 爆炸，冲击波；一阵 vt. 炸
cloak	n. 斗篷；覆盖（物）
housewife	n. 家庭主妇
somebody	pron. 某人，有人
virtue	n. 善， 美德； 优点， 长处
urban	adj. 城市的， 都市的； 住在都市的
naughty	adj. 顽皮的，淘气的
cassette	n. 盒式录音带
hall	n. 门厅；过道；会堂
manage	v. 管理；设法；成功应付，对付
weep	v. 哭泣， 流泪； 渗出
vacuum	v. 用吸尘器清扫 n. 真空；真空吸尘器
portable	adj. 便于携带的， 手提式的
relief	n. 轻松， 宽慰； 缓解； 调剂， 消遣； 接替
brush	n. 刷子，毛刷；画笔
emperor	n. 皇帝
plug	n. 插头，插座；塞子，栓 vt. 把…塞住， 用…塞住
candle	n. 蜡烛
adult	adj. 成年的； 成年人的， 适宜于成年人的 n. 成年人
glad	adj. 高兴的；乐意的
angel	n. 天使；安琪儿，天使〔指仁慈、善良或美丽的人〕
message	n. 信息，消息；启示，要旨，寓意
pack	vt. 捆扎，把…打包；使挤在一起，塞满 n. 包， 小盒
black	adj. 黑色的；黑暗的
scan	vt. 细看，审视；扫描，浏览 n. 扫描
lend	v. 把…借给；贷（款）
sail	n. 帆；船 v. 航行
France	n. 法国，法兰西
cafeteria	n. 自助食堂
costly	adj. 昂贵的， 价值高的
ideal	adj. 理想的；观念的；空想的 n. 理想； 理想的东西
sample	n. 样品，试样，样本 vt. 从…抽样； 品尝， 体验
fabric	n. 织物， 纺织品； 结构
staff	n. 工作人员；参谋 vt. 为…配备人员
repeat	v. 重说，重做 n. 重演，重现
freight	n. 货运；货物；运费 vt. 运送
fence	n. 栅栏
lick	vt. 舔，舔吃；打败，克服；轻拍，吞卷 n. 舔； 少量， 少许
thrust	vt. 插；戳，刺 n. 戳， 刺； 要点， 要旨； 推力
junior	adj. 年少的；资历较浅的 n. 晚辈； 三年级学生
leading	adj. 指导的， 带头的； 最主要的； 饰演主角的
outward	adj. 外面的； 外表的； 向外的
frost	v. 结霜 n. 冰冻，严寒；霜
curse	v. 诅咒，咒骂 n. 天谴； 祸害， 祸根
heroic	adj. 英雄的； 英勇的
dive	vi. 跳水； 潜水； 俯冲
leak	v. 漏；泄露 n. 漏洞
apart	adv. 成距离，相间隔；分开，除去 adj. 分离的， 分隔的
passenger	n. 乘客，旅客
boast	vi. 自夸；自豪 vt. 自夸，吹嘘；以拥有…而自豪 n. 自吹自擂， 自夸的话
breadth	n. 宽度； 幅度， 幅面
feeble	adj. 虚弱的；微弱的
helpful	adj. 给予帮助的； 有用的
apology	n. 道歉， 认错， 谢罪
lighten	v. 照亮，使明亮
hasty	adj. 急速的；仓促的
civil	adj. 公民的； 文职的； 民用的； 民事的， 民法的； 文明的
able	adj. 有能力的；出色的
drive	v. 驾驶；打入；驱
eleventh	adj. 第十一（个）
joyful	adj. 十分喜悦的，快乐的
highly	adv. 高度地， 极， 非常赞许地
foot	n. 脚；最下部；英尺
convert	v. 转变， 转化； 改变
although	conj. 尽管，虽然
submerge	v. 淹没， 潜入水中
mutton	n. 羊肉
murder	n. 谋杀，凶杀；谋杀罪 v. 谋杀；杀害
wire	n. 金属线；电缆
channel	n. 海峡， 水道， 航道； 渠道， 途径； 频道
form	n. 形式；形状 v. 形成
mobile	adj. 运动的； 流动的； 多变的
death	n. 死，死亡；灭亡
host	n. 主人；东道主
Marxist	adj. 马克思主义的 n. 马克思主义者
expect	v. 预料，预期；等待
peak	vi. 达到高峰， 达到最大值 adj. 最大值的，高峰的 n. 山顶，顶点
noble	adj. 贵族的；高尚的
liberty	n. 自由； 许可， 准许； 过于随便， 放肆
sweep	v. 扫；刮起；扫过
jungle	n. 丛林， 密林， 莽丛； 乱七八糟的一堆
optical	adj. 眼的， 光学的， 视觉的
depth	n. 深度；深厚；深处
tire	v. 疲劳，累；厌倦
habit	n. 习惯；习性
enlarge	vt. 扩大， 扩展， 放大
dismiss	vt. 不再考虑； 解雇， 解散； 驳回
dare	v. 敢；竟敢
enclose	vt. 围住， 圈起； 附上； 把…装入信封
enter	v. 走进，进入；参加
pool	n. 游泳池；水塘，水池
daring	adj. 大胆的，勇敢的
postpone	v. 延迟，推迟，延缓
telegram	n. 电报
lifetime	n. 一生，终身
control	v. 控制；克制 n. 控制
bronze	n. 青铜；青铜制品
dynamic	adj. 有活力的；动力的；不断变化的 n. 动力； 动力学
disable	v. 使无能，使伤残
gate	n. 大门；篱笆门
seed	n. 种（子），籽；起因，萌芽
concert	n. 音乐会，演奏会
famine	n. 饥荒； 严重的缺乏
slice	n. 薄片，切片；部分 vt. 切， 削
prisoner	n. 囚犯
temporary	adj. 暂时的， 临时的
comrade	n. 亲密的同伴；同志
problem	n. 问题；习题，问题
enough	det. 足够的 adv. 足够地
bath	n. 浴，洗澡；浴缸
invent	vt. 发明， 创造； 捏造
ever	adv. 在任何时候；曾经
bark	vi. 吠，叫 n. 吠声， 叫声； 树皮
horror	n. 恐怖； 憎恶； 令人恐怖的事物
deduce	v. 演绎，推论，推断
mouthful	n. 满口，一口
hospital	n. 医院
fortnight	n. 两星期， 十四天
optional	adj. 可以任意选择的
assist	vt. 援助， 帮助， 协助
carpet	n. 地毯，毡毯，毛毯
railway	n. 铁路，铁道
each	det,pron. 各，各自
racial	adj. 种族的， 人种的
asleep	adj. 睡着的，睡熟的
hostess	n. 女主人
fellow	n. 家伙；伙伴
blind	adj. 瞎的；盲目的
dash	vi. 猛冲，击碎 vt. 使猛撞，飞奔；溅 n. 猛冲； 破折号
must	v. 必须；必然要
captain	n. 陆军上尉；队长
rigid	adj. 严格的； 死板的； 刚硬的， 僵硬的
mistake	n. 错误 v. 误解，弄错
depart	vi. 离开， 起程， 出发
butcher	n. 肉商，肉贩，屠夫 vt. 屠宰， 残杀
lonely	adj. 孤独的；荒凉的
corn	n. 谷物；（英）小麦
pierce	vt. 刺穿， 穿孔于
field	n. 田野；田；运动场
crane	n. 起重机， 摄影升降机； 鹤
future	n. 将来，未来；前途
external	adj. 外部的， 外面的
brittle	adj. 脆的；易损坏的
claim	vt. 声称，主张；对…提出要求，索取；以…为其成果；需要，值得 n. 要求， 认领， 索赔； 声称； 断言
parade	v. 游行， 列队前进； 招摇而行 n. 游行；检阅
furnish	v. 装备，布置 （房间、建筑物）；供应，提供
choice	n. 选择，抉择
liable	adj. 易于…的； 可能的
foreigner	n. 外国人
protect	v. 保护，保卫，警戒
airline	n. 航空公司； 航线
deep	adj. 深的；纵深的
storey	n. （层）楼
willing	adj. 愿意的，心甘情愿的
quarter	n. 四分之一；一刻钟
lightly	adv. 轻轻地，轻松地
case	n. 情况；病例；事实
overcoat	n. 外衣，大衣
failure	n. 失败， 失败的人； 失灵， 故障； 不履行
beauty	n. 美，美丽；美人
muscle	n. 肌肉， 体力； 力量， 实力
polish	vt. 磨光；修改，润色，使优美 n. 擦光剂
company	n. 公司，商号；同伴
computer	n. 计算机，电脑
regard	v. 把…看作
oral	adj. 口头的； 口的
height	n. 高，高度；高处
folk	n. 人们； 家属， 亲属； 大伙儿， 各位
carve	v. 刻，雕刻；切开
insure	vt. 为…投保； 确保
dull	adj. 乏味的， 单调的； 晦暗的， 阴沉的； 低沉的； 笨的； 钝的
mortal	adj. 终有一死的；致死的
volume	n. 卷， 册， 书卷； 容积， 体积； 音量， 响度
bull	n. 公牛；雄的象
debate	n. 争论，辩论 v. 争论，辩论
newspaper	n. 报纸，报
pencil	n. 铅笔
courage	n. 勇气，胆量，胆识
place	n. 地方，地点；住所
sheet	n. 被单；纸张；薄板
cucumber	n. 黄瓜
flame	n. 火焰， 光辉； 热情
peace	n. 和平；平静；和睦
basis	n. 基础， 根据； 原则
once	adv. 一次；曾经
husband	n. 丈夫
haircut	n. 理发
cordial	adj. 真诚的，诚恳的
avenue	n. 林荫道， 道路， 大街
bright	adj. 明亮的；聪明的
pride	n. 骄傲；自豪 v. 自夸
battery	n. 电池， 蓄电池； 排炮， 炮组； 一系列， 一套
find	v. 找到；找出；发觉
chapter	n. 章， 回， 篇
carrier	n. 运输工具， 运载工具； 带菌者； 载重架， 置物架
troop	vi. 成群结队而行 n. 军队，部队；一群，大量
garbage	n. 垃圾， 废物； 废话； 无用的资料
nasty	adj. 龌龊的；淫猥的
aboard	adv&prep. 在船上， 上船
outdoor	adj. 户外的，室外的
accuse	vt. 指责， 归咎于
heaven	n. 天堂；天，天空
Europe	n. 欧洲
examine	v. 检查，仔细观察
